,ID,Key,Name,Mascot,Conference,ELO,Record
365,399,CALVW,Calvary,Warriors,n/a,100.0,0 - 0
366,400,CCT,Champion Christian College,Tigers,n/a,100.0,0 - 3
367,401,MGS,Middle Georgia State,Knights,n/a,100.0,0 - 0
368,402,CALTECH,Cal Tech,Beavers,n/a,100.0,0 - 1
369,403,HHILO,Hawaii Hilo,Vulcans,n/a,100.0,0 - 0
370,404,WILCAR,William Carey,Crusaders,n/a,100.0,0 - 2
371,405,PINE,Pine Manor,Gators,n/a,100.0,0 - 0
372,406,STEDWA,St. Edwards,Hilltoppers,n/a,100.0,0 - 0
373,407,TRINB,Trinity Baptist,Eagles,n/a,100.0,0 - 1
374,408,EWUN,East-West,Phantoms,n/a,100.0,0 - 1
375,409,SDCHR,San Diego Christian,Hawks,n/a,100.0,0 - 0
376,410,HTILLO,Huston-Tillotson,Rams,n/a,100.0,0 - 1
409,445,DUB,Dubuque,Spartans,n/a,100.0,0 - 0
410,446,HSST,Harris-Stowe,Hornets,n/a,100.0,0 - 0
411,447,MIDAMC,Mid-America Christian,Evangels,n/a,100.0,0 - 1
455,491,JWCO,Johnson & Wales (CO),Wildcats,n/a,100.0,0 - 0
443,479,SONO,Sonoma State,Seawolves,n/a,100.0,0 - 0
444,480,NWCOLL,Northwest,Eagles,n/a,100.0,0 - 0
445,481,NDOH,Notre Dame College of Ohio,Falcons,n/a,100.0,0 - 0
446,482,BREC,Brevard College,Tornados,n/a,100.0,0 - 0
447,483,STFR,St. Francis (IL),Fighting Saints,n/a,100.0,0 - 1
448,484,TRIFL,Trinity (FL),Tigers,n/a,100.0,0 - 1
449,485,STMAMD,St. Mary's (MD),Seahawks,n/a,100.0,0 - 1
450,486,WILMDE,Wilmington (DE),Wildcats,n/a,100.0,1 - 0
451,487,CSDH,Cal State-Dominguez Hills,Toros,n/a,100.0,0 - 0
452,488,PIEDMO,Piedmont,Lions,n/a,100.0,0 - 1
453,489,CWA,Central Washington,Wildcats,n/a,100.0,0 - 0
454,490,MYVLST,Mayville State,Comets,n/a,100.0,0 - 1
456,492,INNW,Indiana-Northwest,Red Hawks,n/a,100.0,0 - 0
441,477,TRUE,Truett-McConnell,Bears,n/a,100.0,0 - 0
457,493,COE,Coe,Kohawks,n/a,100.0,0 - 1
458,494,NLAND,Northland,LumberJacks,n/a,100.0,0 - 0
459,495,HOOD,Hood,Blazers,n/a,100.0,0 - 0
460,496,PEACE,William Peace,Pacers,n/a,100.0,0 - 0
461,497,MILLSA,Millsaps,Majors,n/a,100.0,0 - 1
462,499,MEMAC,Maine-Machias,Clippers,n/a,100.0,0 - 0
463,500,SECOL,Southeastern,Fire,n/a,100.0,0 - 0
464,501,NWOHIO,Northwestern Ohio,Racers,n/a,100.0,0 - 0
465,502,FRANU,Franciscan,Barons,n/a,100.0,0 - 1
466,503,CDRVL,Cedarville,Yellow Jackets,n/a,100.0,0 - 0
467,504,GCSU,Georgia College & State,Bobcats,n/a,100.0,0 - 0
468,505,STLEO,St. Leo,Lions,n/a,100.0,0 - 0
